Word;Frequency;Rank;Logarithm of Frequency;Logarithm of rank
снизу;6;530;0.7781512503836435;2.7242758696007887
сей;6;531;0.7781512503836435;2.725094521081469
налево;6;532;0.7781512503836435;2.725911632295048
горе;6;533;0.7781512503836435;2.726727209026572
запеть;6;534;0.7781512503836435;2.727541257028556
узнавать;6;535;0.7781512503836435;2.728353782021228
милый;6;536;0.7781512503836435;2.7291647896927698
орех;6;537;0.7781512503836435;2.7299742856995555
перепеть;6;538;0.7781512503836435;2.730782275666389
принести;6;539;0.7781512503836435;2.7315887651867388
человеческий;6;540;0.7781512503836435;2.7323937598229686
забывать;6;541;0.7781512503836435;2.733197265106569
внимание;6;542;0.7781512503836435;2.7339992865383866
продолжать;6;543;0.7781512503836435;2.7347998295888467
рано;6;544;0.7781512503836435;2.7355988996981795
четвертинка;6;545;0.7781512503836435;2.736396502276642
восемь;6;546;0.7781512503836435;2.737192642704737
крепкий;6;547;0.7781512503836435;2.7379873263334304
общий;6;548;0.7781512503836435;2.738780558484369
бутерброд;6;549;0.7781512503836435;2.7395723444500915
доза;6;550;0.7781512503836435;2.740362689494243
нужно;6;551;0.7781512503836435;2.741151598851785
погодить;6;552;0.7781512503836435;2.7419390777291985
